filename,battery_id,data_points
00489.csv,B0048,290
00493.csv,B0048,295
00495.csv,B0048,290
00497.csv,B0048,292
00499.csv,B0048,285
00501.csv,B0048,243
00505.csv,B0048,309
00509.csv,B0048,310
00511.csv,B0048,305
00513.csv,B0048,301
00515.csv,B0048,300
00517.csv,B0048,297
00521.csv,B0048,298
00525.csv,B0048,300
00527.csv,B0048,297
00529.csv,B0048,292
00531.csv,B0048,291
00533.csv,B0048,129
00537.csv,B0048,312
00541.csv,B0048,304
00543.csv,B0048,300
00545.csv,B0048,299
00547.csv,B0048,295
00549.csv,B0048,291
00553.csv,B0046,488
00557.csv,B0046,427
00559.csv,B0046,422
00561.csv,B0046,417
00563.csv,B0046,413
00565.csv,B0046,409
00569.csv,B0046,407
00573.csv,B0046,407
00575.csv,B0046,402
00577.csv,B0046,398
00579.csv,B0046,394
00581.csv,B0046,391
00585.csv,B0046,395
00589.csv,B0046,397
00591.csv,B0046,392
00593.csv,B0046,386
00595.csv,B0046,383
00597.csv,B0046,378
00601.csv,B0046,374
00603.csv,B0046,173
00605.csv,B0046,386
00607.csv,B0046,368
00609.csv,B0046,363
00613.csv,B0046,361
00615.csv,B0046,358
00617.csv,B0046,355
00619.csv,B0046,350
00621.csv,B0046,348
00625.csv,B0046,346
00627.csv,B0046,343
00629.csv,B0046,340
00631.csv,B0046,336
00633.csv,B0046,334
00637.csv,B0046,345
00641.csv,B0046,351
00643.csv,B0046,343
00645.csv,B0046,339
00647.csv,B0046,335
00649.csv,B0046,330
00653.csv,B0046,329
00655.csv,B0046,324
00657.csv,B0046,321
00659.csv,B0046,319
00661.csv,B0046,316
00665.csv,B0046,314
00667.csv,B0046,311
00669.csv,B0046,309
00671.csv,B0046,307
00673.csv,B0046,299
00677.csv,B0046,303
00679.csv,B0046,301
00681.csv,B0046,298
00683.csv,B0046,295
00685.csv,B0046,243
00689.csv,B0046,321
00693.csv,B0046,316
00695.csv,B0046,310
00697.csv,B0046,306
00699.csv,B0046,304
00701.csv,B0046,301
00705.csv,B0046,302
00709.csv,B0046,305
00711.csv,B0046,300
00713.csv,B0046,295
00715.csv,B0046,293
00717.csv,B0046,129
00721.csv,B0046,323
00725.csv,B0046,308
00727.csv,B0046,302
00729.csv,B0046,300
00731.csv,B0046,295
00733.csv,B0046,292
00739.csv,B0043,334
00741.csv,B0043,327
00743.csv,B0043,323
00745.csv,B0043,320
00747.csv,B0043,317
00751.csv,B0043,272
00753.csv,B0043,311
00755.csv,B0043,308
00757.csv,B0043,304
00759.csv,B0043,301
00763.csv,B0043,299
00765.csv,B0043,296
00767.csv,B0043,293
00769.csv,B0043,291
00771.csv,B0043,288
00775.csv,B0043,286
00777.csv,B0043,283
00779.csv,B0043,281
00781.csv,B0043,278
00783.csv,B0043,270
00787.csv,B0043,278
00791.csv,B0043,276
00793.csv,B0043,273
00795.csv,B0043,270
00797.csv,B0043,268
00799.csv,B0043,266
00803.csv,B0043,264
00805.csv,B0043,262
00807.csv,B0043,260
00809.csv,B0043,259
00811.csv,B0043,256
00815.csv,B0043,254
00817.csv,B0043,252
00819.csv,B0043,250
00821.csv,B0043,247
00823.csv,B0043,245
00827.csv,B0043,244
00829.csv,B0043,243
00831.csv,B0043,241
00833.csv,B0043,239
00835.csv,B0043,237
00952.csv,B0043,455
00956.csv,B0043,461
00958.csv,B0043,457
00960.csv,B0043,453
00962.csv,B0043,446
00964.csv,B0043,443
00968.csv,B0043,436
00970.csv,B0043,433
00972.csv,B0043,424
00974.csv,B0043,424
00976.csv,B0043,419
00980.csv,B0043,415
00982.csv,B0043,410
00984.csv,B0043,405
00986.csv,B0043,400
00988.csv,B0043,396
00992.csv,B0043,391
00994.csv,B0043,389
00996.csv,B0043,385
00998.csv,B0043,379
01000.csv,B0043,377
01004.csv,B0043,373
01006.csv,B0043,368
01008.csv,B0043,364
01010.csv,B0043,360
01013.csv,B0032,165
01033.csv,B0032,166
01039.csv,B0032,164
01041.csv,B0032,162
01043.csv,B0032,160
01045.csv,B0032,159
01049.csv,B0032,161
01051.csv,B0032,160
01053.csv,B0032,158
01055.csv,B0032,156
01057.csv,B0032,154
01061.csv,B0032,155
01063.csv,B0032,153
01065.csv,B0032,151
01067.csv,B0032,150
01069.csv,B0032,148
01073.csv,B0032,150
01075.csv,B0032,147
01077.csv,B0032,146
01079.csv,B0032,144
01081.csv,B0032,144
01085.csv,B0032,144
01087.csv,B0032,142
01089.csv,B0032,141
01091.csv,B0032,139
01093.csv,B0032,139
01097.csv,B0032,140
01099.csv,B0032,138
01101.csv,B0032,137
01103.csv,B0032,135
01105.csv,B0032,134
01113.csv,B0039,54
01115.csv,B0039,54
01117.csv,B0039,54
01119.csv,B0039,53
01121.csv,B0039,52
01125.csv,B0039,51
01129.csv,B0039,51
01131.csv,B0039,51
01133.csv,B0039,51
01135.csv,B0039,50
01137.csv,B0039,49
01141.csv,B0039,634
01145.csv,B0039,639
01147.csv,B0039,636
01149.csv,B0039,632
01151.csv,B0039,629
01153.csv,B0039,625
01157.csv,B0039,621
01161.csv,B0039,620
01163.csv,B0039,617
01165.csv,B0039,613
01167.csv,B0039,610
01169.csv,B0039,607
01173.csv,B0039,603
01175.csv,B0039,601
01177.csv,B0039,598
01179.csv,B0039,595
01181.csv,B0039,591
01185.csv,B0039,589
01187.csv,B0039,586
01189.csv,B0039,583
01191.csv,B0039,581
01193.csv,B0039,578
01197.csv,B0039,575
01199.csv,B0039,572
01201.csv,B0039,569
01203.csv,B0039,567
01205.csv,B0039,563
01209.csv,B0039,268
01213.csv,B0039,265
01215.csv,B0039,263
01217.csv,B0039,261
01219.csv,B0039,259
01221.csv,B0039,257
01225.csv,B0039,107
01229.csv,B0039,107
01231.csv,B0040,65
01235.csv,B0040,76
01237.csv,B0040,75
01239.csv,B0040,74
01241.csv,B0040,72
01243.csv,B0040,69
01247.csv,B0040,72
01251.csv,B0040,71
01253.csv,B0040,70
01255.csv,B0040,68
01257.csv,B0040,68
01259.csv,B0040,65
01263.csv,B0040,614
01267.csv,B0040,620
01269.csv,B0040,618
01271.csv,B0040,614
01273.csv,B0040,612
01275.csv,B0040,608
01279.csv,B0040,603
01283.csv,B0040,602
01285.csv,B0040,600
01287.csv,B0040,597
01289.csv,B0040,595
01291.csv,B0040,592
01295.csv,B0040,589
01297.csv,B0040,587
01299.csv,B0040,584
01301.csv,B0040,581
01303.csv,B0040,578
01307.csv,B0040,576
01309.csv,B0040,574
01311.csv,B0040,571
01313.csv,B0040,569
01315.csv,B0040,567
01319.csv,B0040,564
01321.csv,B0040,562
01323.csv,B0040,559
01325.csv,B0040,557
01327.csv,B0040,554
01331.csv,B0040,267
01335.csv,B0040,266
01337.csv,B0040,264
01339.csv,B0040,262
01341.csv,B0040,261
01343.csv,B0040,259
01347.csv,B0040,34
01351.csv,B0040,44
01354.csv,B0029,167
01382.csv,B0029,162
01384.csv,B0029,160
01386.csv,B0029,159
01392.csv,B0029,159
01394.csv,B0029,157
01396.csv,B0029,155
01398.csv,B0029,154
01402.csv,B0029,155
01404.csv,B0029,152
01406.csv,B0029,151
01408.csv,B0029,149
01410.csv,B0029,148
01414.csv,B0029,149
01416.csv,B0029,147
01418.csv,B0029,146
01420.csv,B0029,144
01422.csv,B0029,143
01426.csv,B0029,143
01428.csv,B0029,141
01430.csv,B0029,140
01432.csv,B0029,139
01434.csv,B0029,138
01438.csv,B0029,139
01440.csv,B0029,137
01442.csv,B0029,136
01444.csv,B0029,135
01446.csv,B0029,134
01532.csv,B0042,337
01534.csv,B0042,332
01536.csv,B0042,329
01538.csv,B0042,326
01540.csv,B0042,323
01544.csv,B0042,272
01546.csv,B0042,318
01548.csv,B0042,315
01550.csv,B0042,312
01552.csv,B0042,309
01556.csv,B0042,307
01558.csv,B0042,304
01560.csv,B0042,302
01562.csv,B0042,299
01564.csv,B0042,297
01568.csv,B0042,296
01570.csv,B0042,293
01572.csv,B0042,291
01574.csv,B0042,289
01576.csv,B0042,280
01580.csv,B0042,290
01584.csv,B0042,287
01586.csv,B0042,285
01588.csv,B0042,282
01590.csv,B0042,279
01592.csv,B0042,277
01596.csv,B0042,277
01598.csv,B0042,275
01600.csv,B0042,273
01602.csv,B0042,270
01604.csv,B0042,269
01608.csv,B0042,268
01610.csv,B0042,266
01612.csv,B0042,264
01614.csv,B0042,261
01616.csv,B0042,259
01620.csv,B0042,259
01622.csv,B0042,257
01624.csv,B0042,256
01626.csv,B0042,254
01628.csv,B0042,251
01632.csv,B0042,89
01636.csv,B0042,85
01638.csv,B0042,83
01640.csv,B0042,82
01642.csv,B0042,93
01645.csv,B0042,93
01647.csv,B0042,91
01649.csv,B0042,90
01657.csv,B0042,89
01659.csv,B0042,88
01661.csv,B0042,86
01665.csv,B0042,86
01669.csv,B0042,83
01671.csv,B0042,85
01673.csv,B0042,84
01675.csv,B0042,84
01677.csv,B0042,83
01681.csv,B0042,83
01699.csv,B0042,83
01705.csv,B0042,81
01711.csv,B0042,80
01723.csv,B0042,77
01745.csv,B0042,436
01749.csv,B0042,457
01751.csv,B0042,455
01753.csv,B0042,452
01755.csv,B0042,447
01757.csv,B0042,445
01761.csv,B0042,440
01763.csv,B0042,438
01765.csv,B0042,430
01767.csv,B0042,431
01769.csv,B0042,428
01773.csv,B0042,424
01775.csv,B0042,421
01777.csv,B0042,417
01779.csv,B0042,413
01781.csv,B0042,410
01785.csv,B0042,407
01787.csv,B0042,404
01789.csv,B0042,401
01791.csv,B0042,398
01793.csv,B0042,394
01797.csv,B0042,393
01799.csv,B0042,389
01801.csv,B0042,386
01803.csv,B0042,383
01805.csv,B0034,94
01809.csv,B0034,166
01811.csv,B0034,164
01813.csv,B0034,162
01815.csv,B0034,159
01817.csv,B0034,154
01821.csv,B0034,152
01823.csv,B0034,151
01825.csv,B0034,149
01827.csv,B0034,147
01829.csv,B0034,146
01833.csv,B0034,145
01835.csv,B0034,143
01837.csv,B0034,142
01839.csv,B0034,140
01841.csv,B0034,139
01845.csv,B0034,140
01847.csv,B0034,141
01849.csv,B0034,137
01851.csv,B0034,135
01853.csv,B0034,133
01857.csv,B0034,145
01861.csv,B0034,141
01863.csv,B0034,137
01867.csv,B0034,133
01869.csv,B0034,132
01873.csv,B0034,132
01875.csv,B0034,130
01877.csv,B0034,128
01879.csv,B0034,127
01881.csv,B0034,126
01885.csv,B0034,126
01887.csv,B0034,125
01889.csv,B0034,123
01891.csv,B0034,123
01893.csv,B0034,122
01897.csv,B0034,124
01899.csv,B0034,125
01901.csv,B0034,124
01903.csv,B0034,120
01905.csv,B0034,119
01909.csv,B0034,126
01913.csv,B0034,127
01915.csv,B0034,123
01921.csv,B0034,130
01923.csv,B0034,126
01925.csv,B0034,124
01927.csv,B0034,123
01929.csv,B0034,123
01933.csv,B0034,122
01935.csv,B0034,119
01937.csv,B0034,119
01939.csv,B0034,118
01941.csv,B0034,118
01945.csv,B0034,118
01947.csv,B0034,117
01949.csv,B0034,113
01951.csv,B0034,112
01953.csv,B0034,112
01957.csv,B0034,114
01959.csv,B0034,114
01961.csv,B0034,114
01963.csv,B0034,110
01965.csv,B0034,110
01969.csv,B0034,119
01973.csv,B0034,118
01975.csv,B0034,115
01977.csv,B0034,113
01979.csv,B0034,110
01985.csv,B0034,113
01987.csv,B0034,111
01989.csv,B0034,109
01991.csv,B0034,107
01993.csv,B0034,105
01997.csv,B0034,105
01999.csv,B0034,105
02001.csv,B0034,105
02003.csv,B0034,104
02005.csv,B0034,103
02009.csv,B0034,103
02011.csv,B0034,103
02013.csv,B0034,102
02015.csv,B0034,102
02017.csv,B0034,102
02021.csv,B0034,101
02023.csv,B0034,101
02025.csv,B0034,101
02027.csv,B0034,103
02029.csv,B0034,102
02033.csv,B0034,101
02035.csv,B0034,99
02037.csv,B0034,98
02039.csv,B0034,100
02041.csv,B0034,101
02045.csv,B0034,100
02047.csv,B0034,98
02049.csv,B0034,97
02051.csv,B0034,97
02053.csv,B0034,99
02057.csv,B0034,100
02059.csv,B0034,98
02061.csv,B0034,96
02063.csv,B0034,96
02065.csv,B0034,95
02069.csv,B0034,98
02071.csv,B0034,98
02073.csv,B0034,97
02075.csv,B0034,95
02077.csv,B0034,95
02081.csv,B0034,94
02087.csv,B0034,96
02089.csv,B0034,95
02091.csv,B0034,94
02093.csv,B0034,94
02095.csv,B0034,94
02099.csv,B0034,94
02101.csv,B0034,93
02103.csv,B0034,94
02105.csv,B0034,94
02107.csv,B0034,92
02111.csv,B0034,92
02113.csv,B0034,92
02115.csv,B0034,92
02117.csv,B0034,91
02119.csv,B0034,91
02123.csv,B0034,92
02125.csv,B0034,95
02127.csv,B0034,92
02129.csv,B0034,91
02131.csv,B0034,90
02135.csv,B0034,89
02139.csv,B0034,96
02141.csv,B0034,91
02143.csv,B0034,90
02145.csv,B0034,89
02147.csv,B0034,90
02151.csv,B0034,89
02153.csv,B0034,91
02155.csv,B0034,88
02157.csv,B0034,87
02159.csv,B0034,87
02163.csv,B0034,88
02165.csv,B0034,89
02167.csv,B0034,89
02169.csv,B0034,88
02171.csv,B0034,87
02175.csv,B0034,87
02177.csv,B0034,86
02179.csv,B0034,88
02181.csv,B0034,86
02183.csv,B0034,85
02187.csv,B0034,94
02191.csv,B0034,94
02193.csv,B0034,91
02195.csv,B0034,90
02197.csv,B0034,90
02199.csv,B0034,89
02203.csv,B0034,92
02205.csv,B0034,88
02207.csv,B0034,87
02209.csv,B0034,87
02211.csv,B0034,85
02215.csv,B0034,86
02217.csv,B0034,86
02219.csv,B0034,86
02221.csv,B0034,85
02223.csv,B0034,85
02227.csv,B0034,84
02229.csv,B0034,85
02231.csv,B0034,85
02233.csv,B0034,84
02235.csv,B0034,84
02239.csv,B0034,86
02243.csv,B0034,84
02245.csv,B0034,83
02247.csv,B0034,83
02249.csv,B0034,82
02251.csv,B0034,83
02255.csv,B0034,83
02257.csv,B0034,83
02259.csv,B0034,81
02261.csv,B0034,82
02263.csv,B0034,80
02267.csv,B0034,80
02269.csv,B0034,80
02271.csv,B0034,81
02273.csv,B0034,81
02275.csv,B0034,80
02279.csv,B0034,82
02281.csv,B0034,83
02283.csv,B0034,81
02285.csv,B0034,81
02287.csv,B0034,80
02291.csv,B0038,102
02295.csv,B0038,116
02297.csv,B0038,113
02299.csv,B0038,109
02301.csv,B0038,107
02303.csv,B0038,105
02307.csv,B0038,108
02311.csv,B0038,106
02313.csv,B0038,105
02315.csv,B0038,104
02317.csv,B0038,102
02319.csv,B0038,102
02323.csv,B0038,633
02327.csv,B0038,639
02333.csv,B0038,630
02339.csv,B0038,622
02343.csv,B0038,620
02345.csv,B0038,618
02347.csv,B0038,615
02349.csv,B0038,612
02351.csv,B0038,609
02355.csv,B0038,606
02357.csv,B0038,604
02359.csv,B0038,600
02361.csv,B0038,597
02363.csv,B0038,594
02367.csv,B0038,592
02369.csv,B0038,590
02371.csv,B0038,588
02373.csv,B0038,585
02375.csv,B0038,583
02379.csv,B0038,581
02381.csv,B0038,578
02383.csv,B0038,575
02385.csv,B0038,573
02387.csv,B0038,569
02391.csv,B0038,279
02395.csv,B0038,279
02397.csv,B0038,278
02399.csv,B0038,276
02401.csv,B0038,275
02403.csv,B0038,273
02407.csv,B0038,127
02411.csv,B0038,127
02413.csv,B0033,19
02417.csv,B0033,68
02419.csv,B0033,113
02421.csv,B0033,123
02423.csv,B0033,128
02425.csv,B0033,130
02429.csv,B0033,124
02433.csv,B0033,163
02435.csv,B0033,160
02437.csv,B0033,158
02441.csv,B0033,157
02443.csv,B0033,155
02445.csv,B0033,154
02447.csv,B0033,152
02449.csv,B0033,152
02453.csv,B0033,151
02455.csv,B0033,152
02457.csv,B0033,149
02459.csv,B0033,147
02461.csv,B0033,146
02465.csv,B0033,150
02469.csv,B0033,150
02471.csv,B0033,148
02473.csv,B0033,149
02475.csv,B0033,143
02477.csv,B0033,145
02481.csv,B0033,142
02483.csv,B0033,141
02485.csv,B0033,140
02487.csv,B0033,138
02489.csv,B0033,138
02493.csv,B0033,137
02495.csv,B0033,136
02497.csv,B0033,135
02499.csv,B0033,134
02501.csv,B0033,133
02505.csv,B0033,134
02507.csv,B0033,134
02509.csv,B0033,133
02511.csv,B0033,131
02513.csv,B0033,130
02517.csv,B0033,134
02521.csv,B0033,133
02523.csv,B0033,132
02529.csv,B0033,134
02531.csv,B0033,132
02533.csv,B0033,130
02535.csv,B0033,132
02537.csv,B0033,130
02541.csv,B0033,129
02543.csv,B0033,128
02545.csv,B0033,126
02547.csv,B0033,125
02549.csv,B0033,127
02553.csv,B0033,125
02555.csv,B0033,124
02557.csv,B0033,122
02559.csv,B0033,121
02561.csv,B0033,120
02565.csv,B0033,122
02567.csv,B0033,121
02569.csv,B0033,120
02571.csv,B0033,119
02573.csv,B0033,117
02577.csv,B0033,125
02581.csv,B0033,124
02583.csv,B0033,121
02585.csv,B0033,120
02587.csv,B0033,118
02589.csv,B0033,118
02593.csv,B0033,120
02595.csv,B0033,119
02597.csv,B0033,116
02599.csv,B0033,116
02601.csv,B0033,114
02605.csv,B0033,114
02607.csv,B0033,113
02609.csv,B0033,112
02611.csv,B0033,112
02613.csv,B0033,111
02617.csv,B0033,110
02619.csv,B0033,110
02621.csv,B0033,110
02623.csv,B0033,109
02625.csv,B0033,109
02629.csv,B0033,108
02631.csv,B0033,108
02633.csv,B0033,108
02635.csv,B0033,110
02637.csv,B0033,108
02641.csv,B0033,107
02643.csv,B0033,106
02645.csv,B0033,106
02647.csv,B0033,106
02649.csv,B0033,106
02653.csv,B0033,105
02655.csv,B0033,104
02657.csv,B0033,103
02659.csv,B0033,104
02661.csv,B0033,104
02665.csv,B0033,104
02667.csv,B0033,103
02669.csv,B0033,101
02671.csv,B0033,101
02673.csv,B0033,101
02677.csv,B0033,102
02679.csv,B0033,103
02681.csv,B0033,101
02683.csv,B0033,99
02685.csv,B0033,99
02689.csv,B0033,99
02695.csv,B0033,99
02697.csv,B0033,98
02699.csv,B0033,98
02701.csv,B0033,98
02703.csv,B0033,97
02707.csv,B0033,96
02709.csv,B0033,96
02711.csv,B0033,96
02713.csv,B0033,95
02715.csv,B0033,95
02719.csv,B0033,95
02721.csv,B0033,95
02723.csv,B0033,94
02725.csv,B0033,94
02727.csv,B0033,94
02731.csv,B0033,94
02733.csv,B0033,97
02735.csv,B0033,95
02737.csv,B0033,94
02739.csv,B0033,94
02743.csv,B0033,89
02747.csv,B0033,96
02749.csv,B0033,94
02751.csv,B0033,93
02753.csv,B0033,70
02755.csv,B0033,21
02759.csv,B0033,17
02761.csv,B0033,14
02763.csv,B0033,16
02765.csv,B0033,17
02767.csv,B0033,32
02771.csv,B0033,33
02777.csv,B0033,93
02779.csv,B0033,92
02783.csv,B0033,92
02785.csv,B0033,90
02787.csv,B0033,90
02789.csv,B0033,90
02791.csv,B0033,89
02795.csv,B0033,79
02799.csv,B0033,96
02801.csv,B0033,95
02803.csv,B0033,95
02805.csv,B0033,93
02807.csv,B0033,93
02811.csv,B0033,95
02813.csv,B0033,91
02815.csv,B0033,91
02817.csv,B0033,90
02819.csv,B0033,89
02825.csv,B0033,90
02827.csv,B0033,89
02829.csv,B0033,88
02831.csv,B0033,87
02835.csv,B0033,87
02837.csv,B0033,89
02839.csv,B0033,88
02841.csv,B0033,86
02843.csv,B0033,86
02847.csv,B0033,87
02851.csv,B0033,86
02853.csv,B0033,86
02855.csv,B0033,85
02857.csv,B0033,85
02859.csv,B0033,85
02863.csv,B0033,84
02865.csv,B0033,84
02867.csv,B0033,83
02869.csv,B0033,83
02871.csv,B0033,82
02875.csv,B0033,82
02877.csv,B0033,82
02879.csv,B0033,82
02881.csv,B0033,82
02883.csv,B0033,81
02887.csv,B0033,80
02889.csv,B0033,82
02891.csv,B0033,82
02893.csv,B0033,81
02895.csv,B0033,80
02900.csv,B0030,163
02904.csv,B0030,170
02906.csv,B0030,168
02908.csv,B0030,166
02912.csv,B0030,167
02914.csv,B0030,165
02916.csv,B0030,162
02918.csv,B0030,160
02920.csv,B0030,158
02924.csv,B0030,159
02926.csv,B0030,157
02928.csv,B0030,155
02930.csv,B0030,153
02932.csv,B0030,152
02936.csv,B0030,156
02938.csv,B0030,154
02940.csv,B0030,151
02942.csv,B0030,149
02944.csv,B0030,148
02948.csv,B0030,148
02950.csv,B0030,146
02952.csv,B0030,144
02954.csv,B0030,143
02956.csv,B0030,142
02960.csv,B0030,143
02962.csv,B0030,141
02964.csv,B0030,140
02966.csv,B0030,138
02968.csv,B0030,137
02972.csv,B0030,137
02974.csv,B0030,136
02976.csv,B0030,135
02978.csv,B0030,134
02980.csv,B0030,133
02984.csv,B0030,134
02986.csv,B0030,132
02988.csv,B0030,131
02990.csv,B0030,130
02992.csv,B0030,129
03099.csv,B0041,388
03103.csv,B0041,367
03105.csv,B0041,357
03107.csv,B0041,344
03109.csv,B0041,331
03111.csv,B0041,325
03115.csv,B0041,316
03117.csv,B0041,312
03119.csv,B0041,304
03121.csv,B0041,300
03123.csv,B0041,296
03127.csv,B0041,292
03129.csv,B0041,288
03131.csv,B0041,285
03133.csv,B0041,281
03135.csv,B0041,282
03139.csv,B0041,274
03141.csv,B0041,278
03143.csv,B0041,276
03145.csv,B0041,270
03147.csv,B0041,272
03151.csv,B0041,269
03153.csv,B0041,266
03155.csv,B0041,265
03157.csv,B0041,263
03241.csv,B0044,325
03243.csv,B0044,318
03245.csv,B0044,314
03247.csv,B0044,311
03249.csv,B0044,307
03253.csv,B0044,272
03255.csv,B0044,302
03257.csv,B0044,298
03259.csv,B0044,295
03261.csv,B0044,292
03265.csv,B0044,290
03267.csv,B0044,287
03269.csv,B0044,284
03271.csv,B0044,281
03273.csv,B0044,278
03277.csv,B0044,276
03279.csv,B0044,273
03281.csv,B0044,271
03283.csv,B0044,268
03285.csv,B0044,260
03289.csv,B0044,267
03293.csv,B0044,265
03295.csv,B0044,262
03297.csv,B0044,259
03299.csv,B0044,257
03301.csv,B0044,254
03305.csv,B0044,253
03307.csv,B0044,251
03309.csv,B0044,249
03311.csv,B0044,247
03313.csv,B0044,244
03317.csv,B0044,242
03319.csv,B0044,241
03321.csv,B0044,239
03323.csv,B0044,236
03325.csv,B0044,234
03329.csv,B0044,233
03331.csv,B0044,232
03333.csv,B0044,230
03335.csv,B0044,228
03337.csv,B0044,226
03454.csv,B0044,435
03458.csv,B0044,438
03460.csv,B0044,435
03462.csv,B0044,430
03464.csv,B0044,424
03466.csv,B0044,421
03470.csv,B0044,416
03472.csv,B0044,412
03474.csv,B0044,402
03476.csv,B0044,400
03478.csv,B0044,396
03482.csv,B0044,391
03484.csv,B0044,386
03486.csv,B0044,382
03488.csv,B0044,377
03490.csv,B0044,377
03494.csv,B0044,370
03496.csv,B0044,371
03498.csv,B0044,366
03500.csv,B0044,360
03502.csv,B0044,359
03506.csv,B0044,354
03508.csv,B0044,351
03510.csv,B0044,347
03512.csv,B0044,344
03514.csv,B0036,188
03518.csv,B0036,336
03524.csv,B0036,330
03526.csv,B0036,328
03530.csv,B0036,325
03532.csv,B0036,324
03534.csv,B0036,322
03536.csv,B0036,320
03538.csv,B0036,318
03542.csv,B0036,316
03544.csv,B0036,314
03546.csv,B0036,312
